id_registro_meteo,aeroporto,data_hora,temperatura_c,pressao_hpa,visibilidade_m,vento_kmh,rajada_kmh,precipitacao_mm,cobertura_nuvens_pct,condicao_meteorologica
MET2024-0101,SBGR,2024-07-01 00:00,18.2,1013.0,7403,15,34,1.2,34,Chuva
MET2024-0102,SBGR,2024-07-01 03:00,17.2,1013.5,7403,15,39,1.2,57,Chuva
MET2024-0103,SBGR,2024-07-01 06:00,16.2,1013.9,7403,15,33,1.2,47,Chuva
MET2024-0104,SBGR,2024-07-01 09:00,17.2,1013.5,7403,15,26,1.2,37,Chuva
MET2024-0105,SBGR,2024-07-01 12:00,18.2,1013.0,7403,15,30,1.2,21,Chuva
MET2024-0101,SBGL,2024-07-01 00:00,19.4,1010.3,8701,14,38,1.4,40,Chuva
MET2024-0102,SBGL,2024-07-01 03:00,18.5,1010.7,8701,14,37,1.4,35,Chuva
MET2024-0103,SBGL,2024-07-01 06:00,17.5,1011.2,8701,14,35,1.4,44,Chuva
MET2024-0104,SBGL,2024-07-01 09:00,18.5,1010.7,8701,14,36,1.4,37,Chuva
MET2024-0105,SBGL,2024-07-01 12:00,19.4,1010.3,8701,14,33,1.4,44,Chuva
MET2024-0101,SBBR,2024-07-01 00:00,21.8,1015.7,11173,16,36,0.3,24,Ceu aberto
MET2024-0102,SBBR,2024-07-01 03:00,20.8,1016.2,11173,16,28,0.3,6,Ceu aberto
MET2024-0103,SBBR,2024-07-01 06:00,19.8,1016.7,11173,16,35,0.3,18,Ceu aberto
MET2024-0104,SBBR,2024-07-01 09:00,20.8,1016.2,11173,16,28,0.3,34,Ceu aberto
MET2024-0105,SBBR,2024-07-01 12:00,21.8,1015.7,11173,16,29,0.3,30,Ceu aberto
MET2024-0101,SBCF,2024-07-01 00:00,18.5,1016.4,7854,14,37,2.1,55,Chuva
MET2024-0102,SBCF,2024-07-01 03:00,17.6,1016.9,7854,14,34,2.1,47,Chuva
MET2024-0103,SBCF,2024-07-01 06:00,16.6,1017.4,7854,14,30,2.1,45,Chuva
MET2024-0104,SBCF,2024-07-01 09:00,17.6,1016.9,7854,14,39,2.1,62,Chuva
MET2024-0105,SBCF,2024-07-01 12:00,18.5,1016.4,7854,14,35,2.1,55,Chuva
MET2024-0101,SBPA,2024-07-01 00:00,14.1,1015.4,7118,20,44,3.4,61,Chuva
MET2024-0102,SBPA,2024-07-01 03:00,13.1,1015.9,7118,20,31,3.4,81,Chuva
MET2024-0103,SBPA,2024-07-01 06:00,12.1,1016.3,7118,20,43,3.4,80,Chuva
MET2024-0104,SBPA,2024-07-01 09:00,13.1,1015.9,7118,20,45,3.4,75,Chuva
MET2024-0105,SBPA,2024-07-01 12:00,14.1,1015.4,7118,20,40,3.4,81,Chuva
MET2024-0101,SBCT,2024-07-01 00:00,13.1,1013.3,4884,24,44,3.8,73,Chuva
MET2024-0102,SBCT,2024-07-01 03:00,12.2,1013.8,4884,24,41,3.8,76,Chuva
MET2024-0103,SBCT,2024-07-01 06:00,11.2,1014.3,4884,24,41,3.8,71,Chuva
MET2024-0104,SBCT,2024-07-01 09:00,12.2,1013.8,4884,24,48,3.8,63,Chuva
MET2024-0105,SBCT,2024-07-01 12:00,13.1,1013.3,4884,24,42,3.8,88,Chuva
MET2024-0101,SBRF,2024-07-01 00:00,24.7,1006.0,12603,14,28,1.0,43,Chuva
MET2024-0102,SBRF,2024-07-01 03:00,23.7,1006.5,12603,14,29,1.0,37,Chuva
MET2024-0103,SBRF,2024-07-01 06:00,22.8,1007.0,12603,14,25,1.0,25,Chuva
MET2024-0104,SBRF,2024-07-01 09:00,23.7,1006.5,12603,14,33,1.0,16,Chuva
MET2024-0105,SBRF,2024-07-01 12:00,24.7,1006.0,12603,14,25,1.0,12,Chuva
MET2024-0101,SBFL,2024-07-01 00:00,17.0,1017.1,6443,17,30,3.2,52,Chuva
MET2024-0102,SBFL,2024-07-01 03:00,16.0,1017.6,6443,17,29,3.2,66,Chuva
MET2024-0103,SBFL,2024-07-01 06:00,15.1,1018.1,6443,17,33,3.2,80,Chuva
MET2024-0104,SBFL,2024-07-01 09:00,16.0,1017.6,6443,17,36,3.2,70,Chuva
MET2024-0105,SBFL,2024-07-01 12:00,17.0,1017.1,6443,17,36,3.2,65,Chuva
MET2024-0101,SBSV,2024-07-01 00:00,22.5,1012.2,10938,18,33,1.5,45,Chuva
MET2024-0102,SBSV,2024-07-01 03:00,21.6,1012.7,10938,18,34,1.5,27,Chuva
MET2024-0103,SBSV,2024-07-01 06:00,20.6,1013.2,10938,18,29,1.5,49,Chuva
MET2024-0104,SBSV,2024-07-01 09:00,21.6,1012.7,10938,18,39,1.5,54,Chuva
MET2024-0105,SBSV,2024-07-01 12:00,22.5,1012.2,10938,18,40,1.5,61,Chuva
MET2024-0101,SBCG,2024-07-01 00:00,18.8,1016.0,9420,14,37,1.5,34,Chuva
MET2024-0102,SBCG,2024-07-01 03:00,17.8,1016.5,9420,14,39,1.5,31,Chuva
MET2024-0103,SBCG,2024-07-01 06:00,16.8,1017.0,9420,14,26,1.5,47,Chuva
MET2024-0104,SBCG,2024-07-01 09:00,17.8,1016.5,9420,14,37,1.5,61,Chuva
MET2024-0105,SBCG,2024-07-01 12:00,18.8,1016.0,9420,14,36,1.5,55,Chuva
MET2024-0201,SBGR,2024-07-02 00:00,18.4,1016.3,8181,17,42,1.7,55,Chuva
MET2024-0202,SBGR,2024-07-02 03:00,17.4,1016.8,8181,17,28,1.7,33,Chuva
MET2024-0203,SBGR,2024-07-02 06:00,16.5,1017.3,8181,17,38,1.7,48,Chuva
MET2024-0204,SBGR,2024-07-02 09:00,17.4,1016.8,8181,17,30,1.7,45,Chuva
MET2024-0205,SBGR,2024-07-02 12:00,18.4,1016.3,8181,17,41,1.7,29,Chuva
