id_rota,aeroporto_origem,aeroporto_destino,distancia_km,duracao_prevista_min
ROT001,SBGR,SBGL,338,55
ROT002,SBGR,SBBR,870,105
ROT003,SBGR,SBCF,489,70
ROT004,SBGR,SBPA,852,115
ROT005,SBGR,SBCT,360,60
ROT006,SBGR,SBRF,2135,190
ROT007,SBGR,SBFL,516,75
ROT008,SBGR,SBSV,1450,165
ROT009,SBGR,SBCG,893,115
ROT010,SBGL,SBBR,932,110
ROT011,SBGL,SBCF,374,60
ROT012,SBGL,SBPA,1126,135
ROT013,SBGL,SBCT,765,100
ROT014,SBGL,SBRF,1875,175
ROT015,SBGL,SBFL,747,100
ROT016,SBGL,SBSV,1210,145
ROT017,SBGL,SBCG,1200,145
ROT018,SBBR,SBCF,624,85
ROT019,SBBR,SBPA,1619,190
ROT020,SBBR,SBCT,1080,130
ROT021,SBBR,SBRF,2070,190
ROT022,SBBR,SBFL,1310,155
ROT023,SBBR,SBSV,1060,130
ROT024,SBBR,SBCG,880,110
ROT025,SBCF,SBPA,1340,155
ROT026,SBCF,SBCT,820,105
ROT027,SBCF,SBRF,1650,165
ROT028,SBCF,SBSV,1370,160
