id_voo,codigo_voo,data,horario_previsto,horario_realizado,aeroporto_origem,aeroporto_destino,id_rota,matricula_aeronave,atraso_minutos,status,motivo_atraso,cancelado,desviado
2025-002481,XYZ252481,2025-07-01,00:00,2025-07-01 00:21,SBGR,SBGL,ROT001,PR-JRD,21,Realizado,Meteorologia,0,0
2025-002482,XYZ252482,2025-07-01,00:00,2025-07-01 00:25,SBGR,SBBR,ROT002,PR-KSE,25,Realizado,Meteorologia,0,0
2025-002483,XYZ252483,2025-07-01,00:00,,SBGR,SBCF,ROT003,PR-LTF,0,Cancelado,Meteorologia,1,0
2025-002484,XYZ252484,2025-07-01,00:00,2025-07-01 00:45,SBGR,SBPA,ROT004,PR-MUG,45,Realizado,Meteorologia,0,0
2025-002485,XYZ252485,2025-07-01,00:00,,SBGL,SBBR,ROT010,PR-NVH,0,Cancelado,Meteorologia,1,0
2025-002486,XYZ252486,2025-07-01,00:00,2025-07-01 00:46,SBGL,SBCF,ROT011,PR-PWL,46,Realizado,Meteorologia,0,0
2025-002487,XYZ252487,2025-07-01,00:00,2025-07-01 00:36,SBGL,SBPA,ROT012,PR-QXA,36,Realizado,Meteorologia,0,0
2025-002488,XYZ252488,2025-07-01,00:00,2025-07-01 00:32,SBGL,SBCT,ROT013,PR-RYB,32,Realizado,Meteorologia,0,0
2025-002489,XYZ252489,2025-07-01,03:00,2025-07-01 03:43,SBGR,SBGL,ROT001,PR-SCD,43,Desviado,Meteorologia,0,1
2025-002490,XYZ252490,2025-07-01,03:00,2025-07-01 03:32,SBGR,SBBR,ROT002,PR-TQJ,32,Realizado,Meteorologia,0,0
2025-002491,XYZ252491,2025-07-01,03:00,2025-07-01 03:38,SBGR,SBCF,ROT003,PR-UKM,38,Realizado,Meteorologia,0,0
2025-002492,XYZ252492,2025-07-01,03:00,2025-07-01 03:40,SBGR,SBPA,ROT004,PR-VPN,40,Realizado,Meteorologia,0,0
2025-002493,XYZ252493,2025-07-01,03:00,2025-07-01 03:28,SBGL,SBBR,ROT010,PR-WAR,28,Desviado,Meteorologia,0,1
2025-002494,XYZ252494,2025-07-01,03:00,2025-07-01 03:12,SBGL,SBCF,ROT011,PR-XBE,12,Realizado,Meteorologia,0,0
2025-002495,XYZ252495,2025-07-01,03:00,2025-07-01 03:43,SBGL,SBPA,ROT012,PR-YCF,43,Realizado,Meteorologia,0,0
2025-002496,XYZ252496,2025-07-01,03:00,,SBGL,SBCT,ROT013,PR-ZDG,0,Cancelado,Meteorologia,1,0
2025-002497,XYZ252497,2025-07-01,06:00,2025-07-01 06:56,SBGR,SBGL,ROT001,PR-ADH,56,Desviado,Meteorologia,0,1
2025-002498,XYZ252498,2025-07-01,06:00,2025-07-01 06:24,SBGR,SBBR,ROT002,PR-BKR,24,Realizado,Meteorologia,0,0
2025-002499,XYZ252499,2025-07-01,06:00,2025-07-01 06:21,SBGR,SBCF,ROT003,PR-CEV,21,Realizado,Meteorologia,0,0
2025-002500,XYZ252500,2025-07-01,06:00,2025-07-01 06:37,SBGR,SBPA,ROT004,PR-DQF,37,Realizado,Meteorologia,0,0
2025-002501,XYZ252501,2025-07-01,06:00,2025-07-01 06:20,SBGL,SBBR,ROT010,PR-EHX,20,Realizado,Meteorologia,0,0
2025-002502,XYZ252502,2025-07-01,06:00,2025-07-01 06:32,SBGL,SBCF,ROT011,PR-FKA,32,Realizado,Meteorologia,0,0
2025-002503,XYZ252503,2025-07-01,06:00,2025-07-01 06:20,SBGL,SBPA,ROT012,PR-GMB,20,Realizado,Meteorologia,0,0
2025-002504,XYZ252504,2025-07-01,06:00,2025-07-01 06:24,SBGL,SBCT,ROT013,PR-HNC,24,Realizado,Meteorologia,0,0
2025-002505,XYZ252505,2025-07-01,09:00,2025-07-01 09:32,SBGR,SBGL,ROT001,PR-JRD,32,Realizado,Meteorologia,0,0
2025-002506,XYZ252506,2025-07-01,09:00,,SBGR,SBBR,ROT002,PR-KSE,0,Cancelado,Meteorologia,1,0
2025-002507,XYZ252507,2025-07-01,09:00,2025-07-01 09:38,SBGR,SBCF,ROT003,PR-LTF,38,Realizado,Meteorologia,0,0
2025-002508,XYZ252508,2025-07-01,09:00,2025-07-01 09:48,SBGR,SBPA,ROT004,PR-MUG,48,Desviado,Meteorologia,0,1
2025-002509,XYZ252509,2025-07-01,09:00,2025-07-01 09:47,SBGL,SBBR,ROT010,PR-NVH,47,Realizado,Meteorologia,0,0
2025-002510,XYZ252510,2025-07-01,09:00,2025-07-01 09:11,SBGL,SBCF,ROT011,PR-PWL,11,Realizado,Meteorologia,0,0
2025-002511,XYZ252511,2025-07-01,09:00,2025-07-01 09:22,SBGL,SBPA,ROT012,PR-QXA,22,Realizado,Meteorologia,0,0
2025-002512,XYZ252512,2025-07-01,09:00,2025-07-01 09:37,SBGL,SBCT,ROT013,PR-RYB,37,Realizado,Meteorologia,0,0
2025-002513,XYZ252513,2025-07-01,12:00,2025-07-01 12:17,SBGR,SBGL,ROT001,PR-SCD,17,Realizado,Meteorologia,0,0
2025-002514,XYZ252514,2025-07-01,12:00,2025-07-01 12:14,SBGR,SBBR,ROT002,PR-TQJ,14,Realizado,Meteorologia,0,0
2025-002515,XYZ252515,2025-07-01,12:00,2025-07-01 12:16,SBGR,SBCF,ROT003,PR-UKM,16,Realizado,Meteorologia,0,0
2025-002516,XYZ252516,2025-07-01,12:00,2025-07-01 12:37,SBGR,SBPA,ROT004,PR-VPN,37,Realizado,Meteorologia,0,0
2025-002517,XYZ252517,2025-07-01,12:00,2025-07-01 12:20,SBGL,SBBR,ROT010,PR-WAR,20,Realizado,Meteorologia,0,0
2025-002518,XYZ252518,2025-07-01,12:00,2025-07-01 12:41,SBGL,SBCF,ROT011,PR-XBE,41,Realizado,Meteorologia,0,0
2025-002519,XYZ252519,2025-07-01,12:00,2025-07-01 12:12,SBGL,SBPA,ROT012,PR-YCF,12,Realizado,Meteorologia,0,0
2025-002520,XYZ252520,2025-07-01,12:00,2025-07-01 12:48,SBGL,SBCT,ROT013,PR-ZDG,48,Realizado,Meteorologia,0,0
2025-002521,XYZ252521,2025-07-02,00:00,2025-07-02 00:42,SBGR,SBGL,ROT001,PR-ADH,42,Realizado,Meteorologia,0,0
2025-002522,XYZ252522,2025-07-02,00:00,2025-07-02 00:27,SBGR,SBBR,ROT002,PR-BKR,27,Realizado,Meteorologia,0,0
2025-002523,XYZ252523,2025-07-02,00:00,2025-07-02 00:11,SBGR,SBCF,ROT003,PR-CEV,11,Realizado,Meteorologia,0,0
2025-002524,XYZ252524,2025-07-02,00:00,2025-07-02 00:28,SBGR,SBPA,ROT004,PR-DQF,28,Realizado,Meteorologia,0,0
2025-002525,XYZ252525,2025-07-02,00:00,2025-07-02 00:34,SBGL,SBBR,ROT010,PR-EHX,34,Realizado,Meteorologia,0,0
2025-002526,XYZ252526,2025-07-02,00:00,2025-07-02 00:20,SBGL,SBCF,ROT011,PR-FKA,20,Realizado,Meteorologia,0,0
2025-002527,XYZ252527,2025-07-02,00:00,2025-07-02 00:17,SBGL,SBPA,ROT012,PR-GMB,17,Realizado,Meteorologia,0,0
2025-002528,XYZ252528,2025-07-02,00:00,2025-07-02 00:45,SBGL,SBCT,ROT013,PR-HNC,45,Realizado,Meteorologia,0,0
2025-002529,XYZ252529,2025-07-02,03:00,2025-07-02 03:18,SBGR,SBGL,ROT001,PR-JRD,18,Realizado,Meteorologia,0,0
2025-002530,XYZ252530,2025-07-02,03:00,2025-07-02 03:38,SBGR,SBBR,ROT002,PR-KSE,38,Desviado,Meteorologia,0,1
2025-002531,XYZ252531,2025-07-02,03:00,2025-07-02 03:33,SBGR,SBCF,ROT003,PR-LTF,33,Realizado,Meteorologia,0,0
2025-002532,XYZ252532,2025-07-02,03:00,2025-07-02 03:34,SBGR,SBPA,ROT004,PR-MUG,34,Realizado,Meteorologia,0,0
2025-002533,XYZ252533,2025-07-02,03:00,2025-07-02 03:27,SBGL,SBBR,ROT010,PR-NVH,27,Realizado,Meteorologia,0,0
2025-002534,XYZ252534,2025-07-02,03:00,2025-07-02 03:24,SBGL,SBCF,ROT011,PR-PWL,24,Realizado,Meteorologia,0,0
2025-002535,XYZ252535,2025-07-02,03:00,2025-07-02 03:13,SBGL,SBPA,ROT012,PR-QXA,13,Realizado,Meteorologia,0,0
2025-002536,XYZ252536,2025-07-02,03:00,2025-07-02 03:49,SBGL,SBCT,ROT013,PR-RYB,49,Realizado,Meteorologia,0,0
2025-002537,XYZ252537,2025-07-02,06:00,2025-07-02 06:42,SBGR,SBGL,ROT001,PR-SCD,42,Realizado,Meteorologia,0,0
2025-002538,XYZ252538,2025-07-02,06:00,2025-07-02 06:18,SBGR,SBBR,ROT002,PR-TQJ,18,Realizado,Meteorologia,0,0
2025-002539,XYZ252539,2025-07-02,06:00,2025-07-02 06:35,SBGR,SBCF,ROT003,PR-UKM,35,Realizado,Meteorologia,0,0
2025-002540,XYZ252540,2025-07-02,06:00,2025-07-02 06:47,SBGR,SBPA,ROT004,PR-VPN,47,Realizado,Meteorologia,0,0
2025-002541,XYZ252541,2025-07-02,06:00,2025-07-02 06:49,SBGL,SBBR,ROT010,PR-WAR,49,Realizado,Meteorologia,0,0
2025-002542,XYZ252542,2025-07-02,06:00,2025-07-02 06:14,SBGL,SBCF,ROT011,PR-XBE,14,Realizado,Meteorologia,0,0
